key,author,date,stars,title,helpful_yes,helpful_no,text
0_bj,FuzzyGut,2018-06-29,4,"So good, but...",2,1,"This was my 1st pint of Salted Caramel Core but not my first Ben and Jerry’s Core pint. My first impression was that my core was HUGE! It was literally overflowing when I opened the pint! Wow! And the caramel itself was delicious; salty sweet and gooey! The sweet cream ice cream was very rich and cut through the sweet of the core nicely. My only issue was the blonde brownie bits. It’s not that they weren’t plentiful, I just really didn’t like the taste of them, which is sad because the rest of the pint was KILLER! The chocolate brownies in the other flavors are amazingly good so I was disappointed that these blonde ones weren’t very good and I ate around them. So, all in all, it was a good pint with amazing caramel, good ice cream and funky brownies."
0_bj,SaltedCaramelLover,2020-04-01,5,Favorite Flavor!,0,0,"This is my all time favorite flavor. For me it's the perfect combination of sweet and salty and its upsetting to see so many people hate on it. I think vanilla would be too over powering but everyone's taste buds are different. I do agree the blonde brownie bits have been lacking... but I'm an eat the entire pint kinda gal.. oops..sit down to a good movie and this is my go to snack to grab (wish it came in a dairy free option, but I live in WI so I suffer through being lactose intolerant all the time)
So in short, it is sweet and salty flavor. I always have a partial scoop of ice cream to core spoonful I eat and I guess I'm the weirdo that runs outta caramel before ice cream... oops xD"
0_bj,jordan3896,2019-03-03,2,Too much,0,2,I love carmel so much and as soon as I saw carmel core I grabbed it off the shelf. The carmel tastes great and I love the ice cream and blonde brownie pieces in it!!! The only thing that is wrong with it is how much carmel they gave me. It was 3/4 carmel and 1/4 ice cream. It wasn’t a good balance and I probably won’t get it again.
0_bj,CollegeGal,2019-04-14,5,My Favorite Flavor- One of a Kind,1,1,"I always wanted a flavor of ice cream that was tailored to the way my taste buds worked. Most ice cream flavors from other companies that have cookie dough in it is chocolate based, but Ben & Jerry’s has cornered the market: this cookie dough is caramel and butter and cookie based (or blondie if that’s the correct term)! I’ve been buying it almost every weekend at college for a year! Please keep this flavor, it makes me so happy. The fact that there’s a cookie dough flavor that is chocolate free is one of a kind and not many ice companies make that!"
0_bj,Margot,2020-04-19,1,Core more like pencil line,0,1,I was so excited to try the “core” pints. The picture they show online makes it look like a decent size and width. The reality: the core of my salted caramel pint was the width of a pencil eraser tip. Incredibly disappointing and 100% not as advertised. I feel duped.
0_bj,ne26,2018-06-19,3,Core-full?,0,1,"I bought this on sale and was excited to try it. While the ice cream is light and blondies are a nice treat, I wish there was more of a salted caramel core. Mine did not go down even halfway, which is a pity because I love salted caramel."
0_bj,Rileyhd,2017-10-14,2,Not terrible,0,2,I had to buy this to since they were all out of mint at the store...lots of Carmel Core which was a plus but no blondie chunks!!! Any were so tiny...very disappointed because Ben and jerrys rocks!!
0_bj,Pasz,2017-08-15,3,Why,0,2,I love this but where did my core go??????????????
0_bj,TimR,2018-02-07,3,Salty Caramel?,1,0,I know sweet cream ice cream probably wouldn't be a big seller but I wish B&J would make more flavors with a sweet cream base or just a plain sweet cream ice cream. When the flavor was 1st introduced I used to get this regularly but it got to a point I was throwing away most of the caramel because it was too salty. I will still occasionally purchase as there are no other flavors with sweet cream.
0_bj,Cranky Yankee,2019-01-26,3,Too salty,1,0,"Bought this recently because my local target has stopped carrying Blondie Ambition, which was my favorite. I love the sweet-cream ice cream; my container didn't seem to have very many blondie chunks (which was disappointing, see previous) and the salted caramel core was overly salty. It was okay. I might buy it again but would rather have Blondie Ambition."
0_bj,karen511,2017-09-18,2,Ok..,1,0,"I really wanted to like this flavor but it was quite disappointing. Halfway into the pint, the core pretty much disappeared. There was way too much at the top and it wasn't dispersed evenly throughout the ice cream. The caramel was also way too salty for my tastes. Also wished there were more brownie pieces, only found a few in the entire pint."
0_bj,drewmar,2017-09-13,3,Blonde brownies??,3,1,"Couldn't find any in my pint. But the rest is fabulous, don't change a thing!"
0_bj,Tornado7,2018-03-29,1,So disappointed!,1,0,"I had a major craving for ice cream so of course I had to go to the store for some Ben and Jerry's! I was really excited about this flavor, but after a few bites I was gagging. It was too salty and there were barely any brownie chunks :/ I'm really sad this ice cream is going to go waste, but I'm not happy with my purchase at all."
0_bj,Sunrise,2017-07-14,2,Blondie Crumbs,1,0,Just bought this last night and like some of the other reviews there were only a few flecks of blondie. Mine was nothing like the photos. And so the combination of just ice cream and such salty caramel was disappointing and unbalanced. I don't know if the core extended to the bottom since I didn't eat enough to find out.
0_bj,JandM,2018-05-06,2,So Disappointed :(,1,1,"I never thought I would not like a Ben & Jerry's flavor, but it's happened :( When my store didn't have my favorite flavor, I thought I would try the Salted Caramel Core - the description sounded great. Unfortunately, the caramel was *way* too salty - I ended up scooping it all out. The vanilla ice cream was good, but the brownie pieces had no flavor. I've never been disappointed by Ben & Jerry's before, but I guess there's a first for everything :("
0_bj,ASaltyFan,2018-07-07,2,They sure meant it when it said salted,1,0,"The salted caramel core tastes like someone went a little too salt happy. There was just too much core in ratio with the ice cream an in addition to the bad core to ice cream ratio, the core was just too salty to handle. Please fix the core because the ice cream itself with the blonde brownie bits are delicious."
0_bj,elephantsforever3,2019-02-14,1,"Horrible pint, bland brownies",2,2,"I was excited for this ice cream because I love blondies and caramel, but it was the one flavor I've tried that I strongly dislike. The core didn't go deep at all and it was SO salty that it made me feel kind of sick. The brownies were dry and sparce and I barely could taste them. The base was alright, I guess. Really dissapointed. I think this flavor needs to be fixed or just stopped being made."
0_bj,Rudy58,2019-08-12,5,Best B&J Pint ever!,0,1,"I've been hooked on this flavor for more than 2 weeks now. I wish I'd have known about it sooner lol! The Salted Caramel Core is very good and the Blonde Brownies make this product over the top. I do have one complaint though. I buy maybe 4 pints or more a week and everytime I open one and start eating them they are all different as far as how many brownie peices there are or the caramel. Sometimes there's a ton of salted caramel at the top which can be overwhelming and then it's gone half way down. Other times it's normal until you get about halfway and there nothing but the sweet cream ice cream with no caramel or brownies. It's always different, however I'm still in love with this flavor and I highly recommend it! Please B&J see if y'all can get them all the same lol"
0_bj,CollegeGal,2019-04-13,5,My Favorite Flavor,0,1,"I always wanted a flavor of ice cream that was taylored to the way my taste buds worked. Most ice cream flavors from other companies that have cookie dough in it is chocolate based, but this cookie dough is caramel and butter and cookie based (or boo die if that’s the correct term) I’ve been buying it almost every weekend at college for a year!
Please keep this flavor, it makes me so happy. The fact that there’s a cookie dough flavor that is chocolate free is one of a kind and not many ice companies make that!"
0_bj,atik,2017-11-16,3,Too salty,1,0,"The blondie mix ins and sweet cream ice cream were nice, but I really wasn't a fan of the caramel core, because it was far too salty. You've got multiple reviews saying that it's too salty, please don't skim over those reviews. Please consider tweaking the recipe on this one so it's less salty."
0_bj,jessiraes,2018-06-07,2,Good in theory...,1,0,"I usually love salted caramel foods, and I adore Ben & Jerry's decadent ice creams. The ice cream was excellent, the brownie pieces were yummy, but the caramel tasted way too salty! The salt is supposed to compliment the caramel, not overpower it. I'm pretty disappointed."
0_bj,Linda895,2018-04-04,3,Too salty,1,0,"I love anything caramel. I was super excited when I saw the whole core was salted caramel. However it was way too salty, I even tried mixing it with the sweet cream ice cream and it was still too salty. It could also use more of the brownie, which was certainly delicious."
0_bj,Aggs,2017-06-08,5,My all time favorite ice cream!!!,1,1,"I.JUST.LOVE this ice cream!!! if I eat ice cream, it must always be B&J salted caramel core! I think I'm addicted. It's a perfect combination between sweet and salty, plus delicious caramel and chewy chunks. I noticed that some pints don't have that much chunks but the vanilla ice cream itself is pretty yummy and honestly, I cannot stay mad for long haha! If B&J's ever discontinue this flavor, I think it could be the end of my world!"
0_bj,Andrew5,2017-04-12,5,Absolutely fantastic,2,2,"I bought this ice cream simply based on the fact that I was craving caramel. But with this wonderful ice cream, you get so much more. Not only is the Ice cream and blonde Brownies perfect...but the caramel is just so good. You almost want to save the caramel as long as you can because how perfect the flavor is. It's the perfect amounts of sweet and salty."
0_bj,Curt,2018-03-08,1,Way too salty,2,1,"There must have been some sort of mistake with the amount of salt mixed into the caramel. Nobody would but that much saint into a desert. The pint it's still on our freezer. On a side note, Cherry Garcia is the best ice cream ever made."
0_bj,Sheyla1110,2018-03-09,2,SALTY!!!,1,0,Tried this flavor for the first time about two weeks ago it was delicious; But today I’m extremely disappointed. The core is so salty in this pint. I had other people try and they also agreed it was too salty. Don’t think I’m buying again.
0_bj,Margaret,2018-09-07,2,Too salty,1,0,"I am a lover of all things caramel, and while the ice cream and the blonde bites were delicious, I found myself eating around the core because it was just too salty. Tasted like caramel flavored salt. Very disappointed in this flavor."
0_bj,Ohlivia,2017-06-05,5,I love it I love it.,2,1,Salted caramel core is in my top three. My eating tactic is to scoop the ice cream from the outside and then smash the back of the spoon into the core so when I take a bite the first thing I'm hit with is salty and then it's sweet.
0_bj,Atsoli,2018-06-03,1,Horrible!,1,0,"My daughter picked up this flavor for me to try because I love Carmel. I have to say, this is the worst flavor I have ever had. The blonde fudge was bland but the salted Carmel was the worst. It was so salty that I couldn't eat it."
0_bj,Ashley L,2018-09-23,2,Has potential,1,0,"I love Ben & Jerry and was excited about the Salted Caramel Core, BUT the caramel is WAY to salty. I even tried to eat it with more ice cream But the salty flavor is too powerful. Disappointed, I know Ben & Jerry could do better !"
0_bj,GodsGirl69,2017-06-07,2,Caramel core was WAY to salty.,1,0,"Tried this for the very first time today. The caramel core was extremely salty. Way to salty to actually enjoy the caramel. Left a bad after taste.
On a positive note, the core was gooey and easy to scoop out with a spoon."
0_bj,Mpitts,2017-05-21,1,Not a fan of brownie chunks,1,0,I really can't stand the flavors with chunks of cookie/brownie. It seems like I'm eating something stale. I'm in the minority but I stopped going to a convenience store near me because all they carried were those types.
0_bj,Raebirds,2019-01-28,3,Too Salty for my buds,1,0,"I had high hopes for this flavor, but the carmel core was way too salty. I was hoping for a sweeter kraft caramel taste. The blonde brownie bites were just okay...not much traditional brownie flavor. Won’t buy again."
0_bj,Iceicecream430,2018-02-11,1,Don’t buy this one!,1,0,I absolutely love Ben and Jerrys ice cream but this one was horrible. The picture looks like there will be tons and brownies and there were only 5 tiny bites in the whole pint. The caramel core was overly salty too.
0_bj,Kaitie13,2018-09-14,2,Where did the core go???,0,1,"So this used to be one of my favourite flavours! The Caramel is very salty and the blondie bits are very chewy but i love that!
The disappointment comes in the fact that the first few times i got this the core went right through to the very bottom! A thick gooey caramel all they way to the last bite. Each time I have gotten this since I have found the caramel to end sooner and sooner in the pint. This last container the caramel went about half way through .
Please bring back the core!!"
0_bj,Sparky,2017-07-27,3,Core is misleading,0,1,"I enjoyed the of flavor of the ice cream. But I was expecting much more caramel. When the label reads ""Salted Caramel Core"", I expected the caramel to be from the top to the bottom. At least that's what I think of the core to be. Like an apple core, it's in the middle from top to bottom. The core is the center of things."
0_bj,gilderoy,2019-07-12,1,the worst thing to ever be in my mouth,1,0,the caramel tastes like salty death. I think I have sodium poisoning from one bite. Gross as heck like why would you do this to people. Who let this pass the taste test??? Fr fr are y’alls tongues blind?
0_bj,MikeA128,2017-10-30,3,Used to love! Keyword’s “used to”,0,1,"I found the salted caramel core shortly after discovering Karamel Sutra. Needless to say I fell in love! The flavors were amazing and the gooey salted caramel and blondie chunks went perfect together. Until the last 12, yes I said 12! Pints I bought, all fell short. They either had very few brownie chunks, the core stopped halfway through, or there was a pocket of air at the bottom where caramel should have been. I give up! I want my salted caramel, but not at 4.50/pt to be left unhappy."
0_bj,Gabby,2017-10-17,2,Didn't like it,1,0,"I tried this ice cream when it first came out, didn't care for it. It seemed as though it was missing something and I really didn't like the salted caramel. I like the Karamel Sutra much better."
0_bj,klyoliphant,2017-07-14,3,"Good ice cream, too salty",1,0,"The sweet cream and blondie chunks were delicious, but the core was almost too salty to eat. The taste of salt was completely overpowering the caramel flavor. Good overall, just needs less salt."
0_bj,DeeMarieT,2018-08-11,1,Too salty,1,0,The core just tastes like salt with no caramel flavour. The ice-cream was floury & the blonde brownie pieces had no taste. Worst flavour I’ve ever had. Very disappointed. :(
0_bj,Goodduncan,2018-02-21,4,Love this-but need more,1,1,"I purchase this flavor A LOT. Probably too much honestly. I have lived this for a while. Recently the punts seem to be lacking be caramel core to the bottom of the pint and the blondies are missing. There’s like 2 spoons of the caramel and 3 pieces of blondie.
Like I said before, I live this flavor. I just hope the manufacturing can go back to when I first found this flavor and fell in love!"
0_bj,GAPat,2019-06-24,3,Meh!,1,0,The ice-cream is disappointingly tasteless...why not use vanilla. The caramel us too salty and intense...why not swirled? The brownie bites were few and far between.
0_bj,Jade_12,2017-06-19,2,"Brownies good, Caramel not so much",1,0,I love Ben and Jerrys! The brownies and ice cream were very good! The caramel was just overwhelmingly salty. I couldn't even eat it. Maybe it's just not for me. :(
0_bj,Jmask,2018-07-15,1,Very salty,1,0,I had looked forward to trying this flavor but found the core saltier than the ocean. As someone who loves caramel this is the worst caramel I have ever tried. I
0_bj,VJRaye,2017-10-05,2,SALTY!!,1,1,"Typically I love salted caramel desserts (or caramel in general), so when I saw this ice cream I was eager to try it. That caramel core nearly knocked me over with its saltiness!! For me, it overpowered the combined flavor of sweet cream, brownies and caramel. I agree with the other reviewers, vanilla ice cream might have been a better balance. However, I do like the blondies. So close!! :-("
0_bj,Drew C,2018-09-09,3,Almost Delicious,0,1,"the flavors are great and they work well together. Unfortunately, they do not work well with the core concept. The caramel would be much better if it were evenly distributed throughout the ice cream, rather than isolated in one huge pool. The blondies could pack a bit more flavor as well. So far, I have yet to have a variety of Ben & Jerry's core flavors that would not taste better if the flavors were evenly distributed. They almost taste like a cheap Ben & Jerry's knockoff."
0_bj,USAFVeteran87,2017-06-27,2,Great but really salty in the caramel core...,1,1,I bought this favor couple of days ago and thought what could be bad about a salted caramel core. Everything was great except the core was so salty that it drowned out the other favors. I do mean salty the 180 mg are in the caramel core. It left a nasty taste in my mouth. Anybody who needs to watch there salt intake shouldn't eat this ice cream favor.
0_bj,Val3914,2017-06-15,2,Salt core?,1,1,"I bought this the other day and was so excited, but when I tried it, the core was way too salty. I love salted caramel, and all the other reviews rave about the core so I'm pretty confused.. Maybe I got a bad pint but it was like salt with an essence of caramel. Sooo overpoweringly salty; first time I've avoided a swirl or core :("
0_bj,Kmorrow14,2019-11-21,5,Please never discontinue.,0,0,"I don't even understand how anyone could have anything bad to say about this ice cream. The sweat cream base is just the right about of sweet. The salted caramel core is almost bitter on it's own but when paired together they are such a great couple, plus the blondie bites! I am a digger and I never run out of these delicious gems. I will cry If they discontinue this one. For someone that doesn't want an overly sweet ice cream this is perfect."
0_bj,Frankrizzo609,2020-05-12,5,Perfect combination!,0,0,Honestly have no idea why people are complaining about this. There couldn’t have been a better pairing of delicious succulent sweet cream ice cream paired with blonde brownies and topped off with savoring salted caramel to make your taste buds smile with such joy. I’ve been buying a pint every week for the past 3 months and haven’t had the urge to try a different flavor. Please don’t ever discontinue this flavor it makes belly very happy
0_bj,vtmaple,2017-05-04,3,Shaken to the Core,0,1,"My husband was away for the evening, and I felt like a little R&R so I headed to the store for some trusty B&J. I decided to go for a flavor I'd never tried. The description sounded so delicious. And delicious it was! Until, I discovered the core was no more than a dollop on top. At about an inch deep it just vanished, leaving me with nothing but the ice cream and blondies... pretty good stuff, but I'm disappointed at the lack of core."
0_bj,MELA,2018-04-19,2,Too Salty,1,1,"That Salted Carmel Core is WAY WAY too Salty. I tired this when it firs came out and I hate it because it was too salty, but I decided to give it another try to see if the formula had been tweaked.. and nope, it has not. So So SO salty. Like others below, I scooped out the core and ate around what I could."
0_bj,Nick,2017-07-14,5,Great ice cream,1,1,"This flavor is magnificent. The sweet cream ice cream works perfectly with the caramel and blondies. And the blondies are particularly great - soft and flavorful. I'm always scared that this flavor will go to the graveyard. Please, Ben and Jerry's, don't discontinue salted caramel core!"
0_bj,Shelby844,2018-02-21,3,My parents by was disappointing,1,1,"I wanted to try something new and thought this looked delicious. It was REALLY good, but less than half way down the “core” literally disappeared. I mean, the ice cream and blonde chi class were good. But I really bought it for the caramel core and kind of feel like I got jipped."
0_bj,Laydgodiva,2018-05-02,5,THEE BEST HANDS DOWN,0,1,"I LOVE this flavor!!!
I have been addicted to this since 2016!!!
It surpasses anything like it!
I love salted caramel ice cream. However it’s hard finding one WITHOUT chocolate!!!
Chocolate overwhelms the salted caramel for me!
However, salted caramel core gets it right!!!
The blondie bites are the cherry on top!
Please don’t ever discontinue this flavor!!!
If I could afford to purchase every pint, I would!!!"
0_bj,Cami123,2020-06-12,2,I wanted to like it...,0,0,"I really wanted to like this ice cream because I'm a die hard B&J's fan! However it just wasn't that great. The ice cream base was very yummy, it wasn't an overpowering flavor and the blondie chucks were very good! But the center, tasted like pure table salt and sugar mixed. It really was over the top salts to the point where I just ended up eating around it...I wish I would have gotten another flavor if I had known."
0_bj,Leeanette323,2019-05-24,4,What happened to the blondes bites?,0,1,"This was my favorite Ben and Jerry's flavor. I still love the sweet cream ice-cream and I adore the caramel core, but something happened to the blonde brownie pieces. They used to be soft and chewy, perfect texture and delicious. The texture has changed now they are hard and crumbly very disappointing. Thought it was a fluke but the last maybe 5 pints I've had from different stores have all had the same issue."
0_bj,Alli,2017-05-08,2,Delicious brownies but caramel is disgusting,1,1,I bought this last night and was very excited to try. Brownie was great but caramel was so salty that I couldn't even eat it. It was like someone poured a salt shaker's worth of salt into it. Did anyone else have this experience?
0_bj,kpay,2019-05-04,5,SO GOOD.,0,1,"I've already told my husband that I just might cry if this flavor is ever discontinued. And we would need another freezer so I can stock up on pints. To the reviewers saying this mix would be better with vanilla ice cream, you need to check your taste buds! The sweet cream complements the salted caramel core so wonderfully. Although I will agree with others - more blonde brownie chunks please!"
0_bj,katiejanes,2020-08-08,5,THE BEST!,0,0,"This is truly my favorite ice cream flavor! I have introduced several friends to it, and they love it just as much! I introduced my husband to it when we were dating, and we actually had salted caramel core pints at our wedding instead of cake. The salted caramel is perfect for salted caramel lovers, and the blonde brownies are the best addition! I would 10/10 recommend this goodness."
0_bj,Chickenleg,2020-04-10,5,The best thing I’ve ever put in my mouth,0,0,This was the best ice cream I’ve ever tasted. The salted Carmel mixed with the sweet cream ice cream is Devine. When you hit a blonde piece it’s the most delicious mouth watering bite. I would recommend this ice cream to everyone I know. I could live off of this for the rest of my life and be content. I stalked up on these pints during quarantine. Ben and Jerry please sponsor me.
0_bj,RKH123,2020-06-11,1,Salted caramel with emphasis on the SALTED,0,0,"The core concept is great because you get a lot of one key component. I normally love salted caramel. However, the caramel core in this ice cream is so salty I can't eat it. It isn't even a matter of mixing it together with the other ingredients to maybe make it taste better than it does in isolation. The salt just overpowers everything!"
0_bj,SaltedCaramelFan,2017-10-17,5,Excellent blend of flavors,0,1,I’m tempted to give a bad review to see if they “reach out to me to make it right” by giving free ice cream...
0_bj,Angie38,2018-04-29,1,Tastes spoiled,0,1,"I got a pint of this ice cream and i had to throw it out. It had an awful taste and the brownies were really gross and chewy; I spit it out and it left an awful after-taste. I checked the date on the carton and it’s good until 2019, so I’m not sure what happened but the ice cream was the worst I’ve ever eaten. Won’t get that again."
0_bj,Gal Friday,2019-03-18,5,Possibly my favorite flavor!!,0,1,"I'm very surprised by the low reviews on this flavor. It is absolutely delicious. The caramel core is what makes this one so special. You can enjoy it all the way down to the end of the pint. It could use more blondie chunks (bigger ones, too) but this didn't detract enough for me to take away any stars. I LOVE this flavor."
0_bj,Trina,2018-03-05,4,Taste Amazing BUT...,0,1,I love the flavor combo of this ice cream but I just wanted more brownie pieces. I found myself trying to dig out what few pieces were in middle of my pint. Just a little disappointed. I just wanted more :( The overall taste of the ice cream was on point. I don't think a little more brownie chunks will mess that up. Thanks!
0_bj,Jarrett,2017-08-22,4,Almost perfect!,0,1,"Ok so this was my first 'core' Ben and Jerry's. It was awesome. I love the experience of mixing the ice cream with the caramel. But where were the blondies? They were few and far between each bite. I was very excited about it everytime I managed to find a small piece. Also, are the blondies made by Greyston Bakery?"
0_bj,Shotgunshell,2018-01-22,5,Best ice cream in the history of cream!,0,1,My husband brought it home a few months ago and now im addicted! It's so good i as in hospital having brain surgery and it's all I wanted! I give up meals so i can eat it. I don't like chocolate so it's so hard to find blonde brownies and salted carmel without chocolate. If I had a last meal it would be it!
0_bj,PhoenixRises,2019-09-03,5,My Favorite Core Ice Cream!,0,1,"This one is my favorite out of the cores! I'm a lover of caramel and a lover of blondie brownies so of course this is a win! I can't see how the average rating is only 3.5. I don't get it. I don't know what people are tasting, because this is delicious. PLEASE don't get rid of this flavor!! I NEED it!"
0_bj,Christinel,2017-05-25,4,Love salted caramel core!!!!,0,1,"Been buying this since it came out and lately the core has been less and less each time I buy it. The core only goes 1/2 inch and then none. Wish the core would go to the bottom of the container. Please keep the same ingredient but more core caramel!
Would give it five stars with more caramel!"
